# Time [sec]	CtrlParams2.Idq_ref_A.value[1]	CtrlParams2.Idq_in_A.value[1]	CtrlParams2.Vdq_out_V.value[1]	CtrlParams2.VqErrInt	CtrlParams2.SpeedFed_Hz	gEscParams2.InPWMCtrl.CanReciWidthus
176.297	-1.24676	-1.24676	-1.75531	-1.75531	-444.294	-444.294
176.313	-444.294	-444.294	-1.74229	0.672297	-441.642	1300
176.329	1300	1300	-1.69021	-1.69021	-1.69021	-1.69021
176.344	-1.69021	-2.07002	-2.07002	-2.07002	-2.07002	1300
176.36	1300	1300	-1.72789	-1.72789	-1.72789	-1.72789
176.375	-1.72789	-1.72789	-1.72437	-1.72437	-1.72437	-1.72437
176.391	-1.72437	-2.01673	-2.01673	-2.01673	-2.01673	-2.01673
176.407	-2.01673	-2.01673	-2.01673	-2.01673	-2.01673	-2.01673
176.422	-2.01673	-2.01673	-2.01673	0.677599	-471.667	-471.667
176.438	-1.40308	-1.40308	-1.40308	-1.40308	-461.801	1300
176.454	1300	1300	1300	0.673127	-477.831	-477.831
176.469	-1.50802	-1.50802	-1.50802	0.67797	-482.673	-482.673
176.485	-482.673	-482.673	-482.673	-482.673	-482.673	1300
176.5	1300	-1.56908	-1.56908	-1.56908	-447.265	-447.265
176.516	-1.80741	-1.80741	-1.80741	0.682965	0.682965	0.682965
176.532	0.682965	0.682965	-1.71601	-1.71601	-1.71601	1300
176.547	1300	-2.02699	-2.02699	0.683589	0.683589	1300
176.563	1300	1300	1300	0.679315	-457.843	-457.843
176.579	-457.843	-457.843	-1.75263	0.686122	-453.808	-453.808
176.594	-453.808	-453.808	-453.808	-453.808	-453.808	1300
176.61	1300	1300	-1.74563	-1.74563	-1.74563	-1.74563
176.625	-1.74563	-1.74563	-1.7371	0.669207	0.669207	0.669207
176.641	-2.16591	-2.16591	-1.71803	-1.71803	-447.218	-447.218
176.657	-447.218	-447.218	-1.69191	-1.69191	-1.69191	-1.69191
176.672	-2.16507	-2.17384	-1.69485	0.671272	-465.899	1300
176.688	1300	1300	1300	1300	1300	1300
176.704	-2.08346	-1.60836	-1.60836	-1.60836	-1.60836	-1.60836
176.719	-1.60836	-1.60836	-1.69292	0.674744	-479.678	-479.678
176.735	-479.678	-2.17662	-2.17662	-2.17662	-2.17662	1300
176.75	-1.36076	-2.18272	-2.18272	0.682044	0.682044	0.682044
176.766	0.682044	0.682044	-1.68182	-1.68182	-459.146	-459.146
176.782	-459.146	-459.146	-459.146	0.668894	0.668894	1300
176.797	-2.32701	-2.07201	-1.70397	-1.70397	-1.70397	-1.70397
176.813	-1.70397	-2.05901	-1.73137	0.67523	0.67523	1300
176.829	-1.24267	-1.72566	-1.75214	0.685299	0.685299	1300
176.844	1300	-1.68215	-1.68215	-1.68215	-1.68215	-1.68215
176.86	-1.68215	-1.68215	-1.69916	-1.69916	-1.69916	-1.69916
176.875	-2.36871	-2.36871	-2.36871	-2.36871	-2.36871	-2.36871
176.891	-2.36871	-2.36871	-1.70527	0.672331	0.672331	1300
176.907	1300	1300	1300	0.672182	0.672182	1300
176.922	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148
176.938	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148
176.954	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148	-2.36148
176.969	-2.36148	-1.87887	-1.74054	0.676768	-478.15	1300
176.985	1300	1300	1300	1300	1300	1300
177	-2.39716	-1.79276	-1.68842	-1.68842	-1.68842	-1.68842
177.016	-2.19042	-2.19042	-2.19042	-2.19042	-487.158	-487.158
177.032	-487.158	-487.158	-487.158	0.675863	0.675863	1300
177.047	0	-2.0745	-2.0745	-2.0745	-2.0745	-2.0745
177.063	0	0	0	0	0	1300
177.079	12	-1.99048	-1.69335	-1.69335	-1.69335	-1.69335
177.094	-1.69335	-1.69335	-1.7518	0.677962	0.677962	0.677962
177.11	0.677962	0.677962	0.677962	0.669063	0.669063	0.669063
177.125	0.669063	-1.6364	-1.6364	-1.6364	-1.6364	-1.6364
177.141	-1.6364	-2.04322	-2.04322	-2.04322	-2.04322	-2.04322
177.157	-2.04322	-1.80289	-1.80289	-1.80289	-1.80289	1300
177.172	1300	1300	-1.70983	-1.70983	-1.70983	-1.70983
177.188	-1.70983	-2.14836	-2.14836	-2.14836	-490.455	1300
177.204	1300	1300	1300	0.669526	0.669526	0.669526
177.219	-1.36255	-2.17264	-2.17264	0.676509	0.676509	0.676509
177.235	0.676509	0.676509	0.676509	0.673668	0.673668	0.673668
177.25	0.673668	-1.64159	-1.64159	0.668409	0.668409	1300
177.266	1300	1300	1300	0.677656	-489.809	-489.809
177.282	-1.42714	-2.16207	-2.16207	0.668255	0.668255	0.668255
177.297	0.668255	0.668255	0.668255	0.668255	0.668255	0.668255
177.313	0.668255	-1.70938	-1.70938	-1.70938	-479.892	-479.892
177.329	-479.892	-479.892	-479.892	-479.892	-479.892	-479.892
177.344	-479.892	-479.892	-479.892	0.678371	0.678371	0.678371
177.36	-1.26795	-1.26795	-1.74767	-1.74767	-1.74767	1300
177.375	1300	1300	1300	1300	1300	1300
177.391	-2.12075	-2.12075	-2.12075	0.67987	-465.352	1300
177.407	-2.26176	-2.26176	-2.26176	-2.26176	-446.818	-446.818
177.422	-1.24328	-1.87474	-1.87474	-1.87474	-1.87474	-1.87474
177.438	-1.87474	-1.87474	-1.87474	0.669956	0.669956	0.669956
177.454	-2.09652	-2.09652	-2.09652	-2.09652	-2.09652	1300
177.469	-2.34803	-2.18983	-2.18983	-2.18983	-2.18983	1300
177.485	-1.27296	-2.09566	-2.09566	-2.09566	-2.09566	-2.09566
